"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/account/me/images","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","450","0.044999998"
"/account/{username}","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","172","0.017199999"
"/account/me/block","Yes","1","1.1925248","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","241","0.0241"
"/account/me/images","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","187","0.0187"
"/account/{username}/submissions/{page}","Yes","1","1.5710492","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","395","0.039499998"
"/account/{username}/available_avatars","Yes","1","1.386722","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","268","0.0268"
"/account/{username}/avatar","Yes","1","1.386722","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","300","0.03"
"/account/me/settings","Yes","1","1.3327687","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","196","0.0196"
"/account/{username}/settings","Yes","1","1.5551791","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","253","0.0253"
"/account/{username}/settings","Yes","1","1.5551791","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","192","0.019199999"
"/account/{username}/verifyemail","Yes","1","1.4023778","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","261","0.026099999"
"/account/{username}/verifyemail","Yes","1","1.4023778","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","254","0.0254"
"/account/{username}/albums/{page}","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","245","0.0245"
"/account/{username}/albums/ids/{page}","Yes","1","1.735297","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","350","0.035"
"/account/{username}/albums/count","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","292","0.029199999"
"/account/{username}/comments/{commentSort}/{page}","Yes","1","1.7525868","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","329","0.032899998"
"/account/{username}/comments/ids/{sort}/{page}","Yes","1","1.5320009","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","377","0.037699997"
"/account/{username}/comments/count","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","222","0.0222"
"/account/{username}/images/{page}","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","238","0.023799999"
"/account/{username}/images/ids/{page}","Yes","1","1.735297","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","308","0.0308"
"/account/{username}/images/count","Yes","1","2.0","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","253","0.0253"
"/account/{username}/notifications/replies","No","No","0.0","N/A","N/A","0.027099999"
"/account/me/follow/tag/{tagName}","Yes","1","1.6370316","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","311","0.0311"
"/image/{imageHash}","Yes","1","1.5565557","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","208","0.0208"
"/image/{imageHash}/favorite","Yes","1","1.6674168","[account, username, nullget, page, image, comment, album, nullpost, count, set, favorite, imagehash, tag, follow, notification]","252","0.0252"
