"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/user","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","173","0.0173"
"/user","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","58","0.0058"
"/organizations","Yes","3","2.0","[nullget, organization, refer]","54","0.0053999997"
"/organizations/{ORG_ID}/shorten_counts","No","No","0.0","N/A","N/A","0.0349"
"/organizations/{ORG_ID}","No","No","0.0","N/A","N/A","0.023699999"
"/shorten","Yes","4","2.0","[bitlink, domain, referrer, click, shorten, country]","61","0.0061"
"/bitlinks/{BITLINK}/countries","No","No","0.0","N/A","N/A","0.0312"
"/bitlinks/{BITLINK}/clicks","No","No","0.0","N/A","N/A","0.0286"
"/bitlinks/{BITLINK}/referrers_by_domains","No","No","0.0","N/A","N/A","0.026099999"
"/expand","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","50","0.005"
"/bitlinks","Yes","4","0.39219853","[bitlink, domain, referrer, click, shorten, country]","137","0.0137"
"/bitlinks/{BITLINK}/referrers","No","No","0.0","N/A","N/A","0.0178"
"/bitlinks/{BITLINK}/clicks/summary","No","No","0.0","N/A","N/A","0.0289"
"/bitlinks/{BITLINK}","No","No","0.0","N/A","N/A","0.013599999"
"/bitlinks/{BITLINK}","No","No","0.0","N/A","N/A","0.012"
"/bitlinks/{BITLINK}/referring_domains","No","No","0.0","N/A","N/A","0.0341"
