"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/user","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","521","0.0521"
"/user","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","101","0.0101"
"/organizations","Yes","3","2.0","[nullget, organization, refer]","84","0.0084"
"/organizations/{ORG_ID}/shorten_counts","No","No","0.0","N/A","N/A","0.0517"
"/organizations/{ORG_ID}","No","No","0.0","N/A","N/A","0.039899997"
"/shorten","Yes","4","2.0","[bitlink, domain, referrer, click, shorten, country]","84","0.0084"
"/bitlinks/{BITLINK}/countries","No","No","0.0","N/A","N/A","0.0451"
"/bitlinks/{BITLINK}/clicks","No","No","0.0","N/A","N/A","0.038599998"
"/bitlinks/{BITLINK}/referrers_by_domains","No","No","0.0","N/A","N/A","0.049599998"
"/expand","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","79","0.0079"
"/bitlinks","Yes","4","0.39219853","[bitlink, domain, referrer, click, shorten, country]","157","0.0157"
"/bitlinks/{BITLINK}/referrers","No","No","0.0","N/A","N/A","0.0244"
"/bitlinks/{BITLINK}/clicks/summary","No","No","0.0","N/A","N/A","0.038599998"
"/bitlinks/{BITLINK}","No","No","0.0","N/A","N/A","0.021"
"/bitlinks/{BITLINK}","No","No","0.0","N/A","N/A","0.0348"
"/bitlinks/{BITLINK}/referring_domains","No","No","0.0","N/A","N/A","0.0521"
