"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/user","No","No","0.0","N/A","N/A","0.0039999997"
"/user","No","No","0.0","N/A","N/A","2.9999999E-4"
"/organizations","No","No","0.0","N/A","N/A","4.0E-4"
"/organizations/{organization_guid}/shorten_counts","No","No","0.0","N/A","N/A","0.0011"
"/organizations/{organization_guid}","No","No","0.0","N/A","N/A","4.0E-4"
"/shorten","No","No","0.0","N/A","N/A","1.0E-4"
"/bitlinks/{bitlink}/countries","No","No","0.0","N/A","N/A","0.0018"
"/bitlinks/{bitlink}/clicks","No","No","0.0","N/A","N/A","5.9999997E-4"
"/bitlinks/{bitlink}/referrers_by_domains","No","No","0.0","N/A","N/A","0.0013"
"/expand","No","No","0.0","N/A","N/A","2.0E-4"
"/bitlinks","No","No","0.0","N/A","N/A","2.0E-4"
"/bitlinks/{bitlink}/referrers","No","No","0.0","N/A","N/A","7.0E-4"
"/bitlinks/{bitlink}/clicks/summary","No","No","0.0","N/A","N/A","4.9999997E-4"
"/bitlinks/{bitlink}","No","No","0.0","N/A","N/A","4.0E-4"
"/bitlinks/{bitlink}","No","No","0.0","N/A","N/A","2.9999999E-4"
"/bitlinks/{bitlink}/referring_domains","No","No","0.0","N/A","N/A","7.0E-4"
