"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/user","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","83","0.0083"
"/user","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","27","0.0026999998"
"/organizations","Yes","3","2.0","[nullget, organization, refer]","26","0.0026"
"/organizations/{ORG_ID}/shorten_counts","No","No","0.0","N/A","N/A","0.018"
"/organizations/{ORG_ID}","No","No","0.0","N/A","N/A","0.0117"
"/shorten","Yes","4","2.0","[bitlink, domain, referrer, click, shorten, country]","25","0.0025"
"/bitlinks/{BITLINK}/countries","No","No","0.0","N/A","N/A","0.015"
"/bitlinks/{BITLINK}/clicks","No","No","0.0","N/A","N/A","0.0103"
"/bitlinks/{BITLINK}/referrers_by_domains","No","No","0.0","N/A","N/A","0.0079"
"/expand","Yes","5","2.0","[bitlink, nullpatch, user, expand, count]","16","0.0016"
"/bitlinks","Yes","4","0.39219853","[bitlink, domain, referrer, click, shorten, country]","31","0.0030999999"
"/bitlinks/{BITLINK}/referrers","No","No","0.0","N/A","N/A","0.0064"
"/bitlinks/{BITLINK}/clicks/summary","No","No","0.0","N/A","N/A","0.0077"
"/bitlinks/{BITLINK}","No","No","0.0","N/A","N/A","0.0044"
"/bitlinks/{BITLINK}","No","No","0.0","N/A","N/A","0.0037"
"/bitlinks/{BITLINK}/referring_domains","No","No","0.0","N/A","N/A","0.008599999"
