"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/statuses/update","Yes","1","1.6877404","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","138","0.0138"
"/statuses/retweet","Yes","1","1.1874018","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","64","0.0064"
"/favorites/create","Yes","1","1.108417","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","53","0.0053"
"/favorites/list","Yes","1","1.108417","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","52","0.0052"
"/statuses/lookup","Yes","1","1.4313279","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","50","0.005"
"/statuses/oembed","Yes","1","0.99384594","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","79","0.0079"
"/statuses/show","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","77","0.0077"
"/statuses/retweets","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","76","0.0075999997"
"/statuses/retweeters/ids","No","No","0.0","N/A","N/A","0.0122"
"/statuses/retweets_of_me","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","39","0.0039"
"/favorites/destroy","Yes","1","1.108417","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","39","0.0039"
"/statuses/unretweet","No","No","0.0","N/A","N/A","0.0042999997"
"/statuses/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","39","0.0039"
"/lists/create","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","40","0.0039999997"
"/friendships/create","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","35","0.0034999999"
"/friendships/update","Yes","1","1.6877404","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","32","0.0032"
"/blocks/create","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","35","0.0034999999"
"/mutes/users/create","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","62","0.0061999997"
"/lists/members/create","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","42","0.0042"
"/lists/subscribers/create","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","35","0.0034999999"
"/lists/list","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","26","0.0026"
"/lists/members","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","28","0.0028"
"/lists/members/show","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","43","0.0042999997"
"/lists/memberships","Yes","1","1.3759855","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","35","0.0034999999"
"/lists/ownerships","Yes","1","1.2531664","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","48","0.0047999998"
"/lists/show","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","52","0.0052"
"/lists/statuses","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","51","0.0050999997"
"/lists/subscribers","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","41","0.0041"
"/lists/subscribers/show","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","62","0.0061999997"
"/lists/subscriptions","Yes","1","1.5000744","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","42","0.0042"
"/followers/ids","Yes","1","1.105318","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","318","0.031799998"
"/followers/list","Yes","1","1.105318","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","27","0.0026999998"
"/friends/ids","Yes","1","1.1209972","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","38","0.0037999998"
"/friends/list","Yes","1","1.1209972","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","28","0.0028"
"/friendships/incoming","Yes","1","1.1384004","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","24","0.0023999999"
"/friendships/lookup","Yes","1","1.4313279","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","22","0.0022"
"/friendships/no_retweets/ids","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","30","0.003"
"/friendships/outgoing","Yes","1","1.0596489","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","25","0.0025"
"/friendships/show","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","23","0.0023"
"/users/lookup","Yes","1","1.4313279","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","22","0.0022"
"/users/search","Yes","1","1.4052457","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","33","0.0033"
"/users/show","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","24","0.0023999999"
"/statuses/home_timeline","Yes","1","0.83583474","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","53","0.0053"
"/statuses/mentions_timeline","Yes","1","0.87629795","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","48","0.0047999998"
"/statuses/user_timeline","Yes","1","1.4442912","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","37","0.0037"
"/blocks/ids","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","22","0.0022"
"/blocks/list","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","25","0.0025"
"/mutes/users/ids","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","37","0.0037"
"/mutes/users/list","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","39","0.0039"
"/search/tweets","Yes","1","0.5926475","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","25","0.0025"
"/trends/available","Yes","1","0.48160487","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","13","0.0013"
"/trends/closest","No","No","0.0","N/A","N/A","0.0046"
"/trends/place","Yes","1","0.3128971","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","25","0.0025"
"/geo/reverse_geocode","No","No","0.0","N/A","N/A","0.0037999998"
"/geo/search","No","No","0.0","N/A","N/A","0.0023"
"/lists/members/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","37","0.0037"
"/lists/subscribers/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","32","0.0032"
"/lists/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","24","0.0023999999"
"/friendships/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","22","0.0022"
"/blocks/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","31","0.0030999999"
"/mutes/users/destroy","Yes","1","2.0","[nullget, list, nullpost, status, user, friendship, destroy, create, id, show, subscriber, member, mute, block, retweet]","58","0.0058"
