"Topic 0","org","summary","nullget",,,,,,,,,,,,
"Topic 1","nullpost","null","nullget",,,,,,,,,,,,
"Topic 2","nullget","organization","refer",,,,,,,,,,,,
"Topic 3","bitlink","domain","referrer","click","shorten","country",,,,,,,,,
"Topic 4","bitlink","nullpatch","user","expand","count","country",,,,,,,,,
