"Topic 0","organization","guid","count","shorten",,,,,,,,,,,
"Topic 1","click","refer","shorten","shorten",,,,,,,,,,,
"Topic 2","user","refer","shorten","shorten",,,,,,,,,,,
"Topic 3","bitlink","domain","referrer","null","summary","country",,,,,,,,,
"Topic 4","nullget","expand","referrer","null","summary","country",,,,,,,,,
