"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/v3/{agreementId}/production/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","517","0.0517"
"/v3/{agreementId}/production/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","193","0.019299999"
"/v3/{agreementId}/production/electricity/graph","Yes","1","1.0802172","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","177","0.0177"
"/v3/{agreementId}/production/electricity/delivery","Yes","1","1.0671395","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","153","0.015299999"
"/v3/agreements","Yes","1","0.35143194","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","27","0.0026999998"
"/v3/{agreementId}/status","Yes","1","0.3844454","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","105","0.0105"
"/v3/{agreementId}/consumption/gas/flows","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","124","0.012399999"
"/v3/{agreementId}/consumption/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","96","0.0095999995"
"/v3/{agreementId}/consumption/districtheat/data","No","No","0.0","N/A","N/A","0.0117999995"
"/v3/{agreementId}/consumption/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","140","0.0139999995"
"/v3/{agreementId}/consumption/gas/data","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","139","0.0139"
"/v3/{agreementId}/webhooks/{applicationId}","No","No","0.0","N/A","N/A","0.014599999"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0069"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0067"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","99","0.0099"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","100","0.01"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","101","0.0101"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","92","0.0092"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","61","0.0061"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","59","0.0058999998"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","75","0.0075"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","78","0.0078"
"/v3/{agreementId}/devices/{deviceid}/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","76","0.0075999997"
"/v3/{agreementId}/devices","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","54","0.0053999997"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","86","0.008599999"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","86","0.008599999"
