"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/v3/{agreementId}/production/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","184","0.0184"
"/v3/{agreementId}/production/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","86","0.008599999"
"/v3/{agreementId}/production/electricity/graph","Yes","1","1.0802172","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","122","0.0122"
"/v3/{agreementId}/production/electricity/delivery","Yes","1","1.0671395","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","131","0.0131"
"/v3/agreements","Yes","1","0.35143194","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","23","0.0023"
"/v3/{agreementId}/status","Yes","1","0.3844454","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","58","0.0058"
"/v3/{agreementId}/consumption/gas/flows","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","84","0.0084"
"/v3/{agreementId}/consumption/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","81","0.0081"
"/v3/{agreementId}/consumption/districtheat/data","Yes","1","1.0456942","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","95","0.0095"
"/v3/{agreementId}/consumption/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","78","0.0078"
"/v3/{agreementId}/consumption/gas/data","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","77","0.0077"
"/v3/{agreementId}/webhooks/{applicationId}","No","No","0.0","N/A","N/A","0.0099"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.006"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0058999998"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","97","0.009699999"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","332","0.0332"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","44","0.0044"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","41","0.0041"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","30","0.003"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","30","0.003"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.0732508","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","62","0.0061999997"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.0732508","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","60","0.006"
"/v3/{agreementId}/devices/{deviceid}/data","Yes","1","1.2277089","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","65","0.0064999997"
"/v3/{agreementId}/devices","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","36","0.0036"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.2277089","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","67","0.0067"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.2277089","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","67","0.0067"
