"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/v3/{agreementId}/production/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","186","0.0186"
"/v3/{agreementId}/production/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","110","0.011"
"/v3/{agreementId}/production/electricity/graph","Yes","1","1.0802172","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","129","0.0128999995"
"/v3/{agreementId}/production/electricity/delivery","Yes","1","1.0671395","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","97","0.009699999"
"/v3/agreements","Yes","1","0.35143194","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","15","0.0015"
"/v3/{agreementId}/status","Yes","1","0.3844454","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","40","0.0039999997"
"/v3/{agreementId}/consumption/gas/flows","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","62","0.0061999997"
"/v3/{agreementId}/consumption/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","69","0.0069"
"/v3/{agreementId}/consumption/districtheat/data","No","No","0.0","N/A","N/A","0.0053"
"/v3/{agreementId}/consumption/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","65","0.0064999997"
"/v3/{agreementId}/consumption/gas/data","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","65","0.0064999997"
"/v3/{agreementId}/webhooks/{applicationId}","No","No","0.0","N/A","N/A","0.0099"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.006"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0058"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","91","0.009099999"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","96","0.0095999995"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","53","0.0053"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","53","0.0053"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","42","0.0042"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","38","0.0037999998"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","42","0.0042"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","45","0.0045"
"/v3/{agreementId}/devices/{deviceid}/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","51","0.0050999997"
"/v3/{agreementId}/devices","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","36","0.0036"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","303","0.030299999"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","60","0.006"
