"Uri","Contextual?","Topic Number","Similarity","Topic wordset","Detection Time (ms)","Detection Time"
"/v3/{agreementId}/production/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","204","0.020399999"
"/v3/{agreementId}/production/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","127","0.0127"
"/v3/{agreementId}/production/electricity/graph","Yes","1","1.0802172","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","151","0.0150999995"
"/v3/{agreementId}/production/electricity/delivery","Yes","1","1.0671395","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","124","0.012399999"
"/v3/agreements","Yes","1","0.35143194","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","21","0.0021"
"/v3/{agreementId}/status","Yes","1","0.3844454","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","52","0.0052"
"/v3/{agreementId}/consumption/gas/flows","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","89","0.0089"
"/v3/{agreementId}/consumption/electricity/data","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","90","0.009"
"/v3/{agreementId}/consumption/districtheat/data","Yes","1","1.0456942","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","93","0.0093"
"/v3/{agreementId}/consumption/electricity/flows","Yes","1","1.3717686","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","78","0.0078"
"/v3/{agreementId}/consumption/gas/data","Yes","1","1.1334556","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","71","0.0071"
"/v3/{agreementId}/webhooks/{applicationId}","No","No","0.0","N/A","N/A","0.01"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0067999996"
"/v3/{agreementId}/webhooks","No","No","0.0","N/A","N/A","0.0061999997"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","107","0.0106999995"
"/v3/{agreementId}/thermostat/programs","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","385","0.0385"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","54","0.0053999997"
"/v3/{agreementId}/thermostat/states","Yes","1","1.2147107","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","54","0.0053999997"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","45","0.0045"
"/v3/{agreementId}/thermostat","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","42","0.0042"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.0732508","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","83","0.0083"
"/v3/{agreementId}/devices/{deviceid}","Yes","1","1.0732508","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","67","0.0067"
"/v3/{agreementId}/devices/{deviceid}/data","Yes","1","1.2277089","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","94","0.0094"
"/v3/{agreementId}/devices","Yes","1","0.9529476","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","51","0.0050999997"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.2277089","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","88","0.0088"
"/v3/{agreementId}/devices/{deviceid}/flows","Yes","1","1.2277089","[agreementid, device, datum, time, give, period, electricity, thermostat, consumption, production, state, temperature, program, flow, deviceid]","102","0.010199999"
